review,sentiment,review_lemmatized
mudah nya isi e money,1.0,mudah nya isi e money
sy puas senang livin mebantu,1.0,sy puas senang livin bantu
bagus daan cepet,1.0,bagus daan cepet
terima kasih penjelasan bantuanya puas enak pakai m bangking yg skrg,1.0,terima kasih jelas bantua dia puas enak pagai m bangking yang skrg
mantap,1.0,mantap
sanga bagus,1.0,sanga bagus
oke,1.0,oke
mantap,1.0,mantap
mantap,1.0,mantap
mantep,1.0,mantep
mantap,1.0,mantap
mantap,1.0,mantap
iye,1.0,iye
good,1.0,good
mantab,1.0,mantab
update,1.0,update
bagus,1.0,bagus
mantab,1.0,mantab
good,1.0,good
senang teransaksi livin tajam terpercaya,1.0,senang ansaksi livin tajam terpercaya
bagus,1.0,bagus
suka banget is the best,1.0,suka banget is the best
ok,1.0,ok
mudah,1.0,mudah
trimakasih membantu,1.0,trimakasih bantu
memudahkan,1.0,mudah
keren memudahkan,1.0,keren mudah
ok,1.0,ok
efesien trs upgrade livin by mandiri menjaga amanan nyamanan nasabah,1.0,efesien trs upgrade livin by mandiri jaga amanan nyaman nasabah
wowwwwww mantap deh kasih bintang,1.0,wowwwwww mantap deh kasih bintang
lumayan,1.0,lumayan
terima kasih vouchernya ya bank mandiri,1.0,terima kasih voucher dia ya bank mandiri
lancar jaya oh iya kalo pengen buku tabungannya gak yah,1.0,lancar jaya oh iya kalo pengen buku tabung dia gak yah
membantu,1.0,bantu
membantu,1.0,bantu
membantu,1.0,bantu
bagus pakai livin mandiri aman terpercaya,1.0,bagus pagai livin mandiri aman terpercaya
transaksi jd mudah dimana,1.0,transaksi jd mudah dimana
mantap,1.0,mantap
pengguna livin kuning livin berinovasi kemudahan bertransaksi suka puas pakek livin mandiri terimakasih bank mandiri hadirnya livin by mandiri,1.0,guna livin kuning livin inovasi mudah transaksi suka puas pakek livin mandiri terimakasih bank mandiri hadir dia livin by mandiri
membantu tpi update,1.0,bantu tpi update
membantu,1.0,bantu
puas terbantu nya aplikasi livin,1.0,puas bantu nya aplikasi livin
pembayaran jd mudah cepat,1.0,bayar jd mudah cepat
alhamdulillah lancar lancar terima kasih,1.0,alhamdulil lah lancar lancar terima kasih
bagus membantu,1.0,bagus bantu
bagus,1.0,bagus
good cocok livin pilihan utama bertransaksi,1.0,good cocok livin pilih utama transaksi
mantul,1.0,mantul
keperluan,1.0,perlu
muter ya,1.0,muter ya
good well great,1.0,good well great
enaknya pakai livin tarik tunai bawa atm,1.0,enak dia pagai livin tarik tunai bawa atm
simple aman dn bermanfaat gak pake ribet,1.0,simple aman dn manfaat gak pake ribet
cepat teroercaya,1.0,cepat oercaya
mantap,1.0,mantap
memudahkan,1.0,mudah
jossss,1.0,jossss
livin by mandiri oke,1.0,livin by mandiri oke
terbantu aplikasi kendala lancar bayar good livin mandiri,1.0,bantu aplikasi kendala lancar bayar good livin mandiri
mantap,1.0,mantap
is the best forever en ever,1.0,is the best forever en ever
mantepp,1.0,mantepp
mantap,1.0,mantap
tampilannya bagus aplikasi,1.0,tampil dia bagus aplikasi
mantap,1.0,mantap
istimewaaaa apapun transaksinya dimandiri,1.0,istimewaaaa apa pun transaksi dia mandir
mempermudah terimakasih livin,1.0,mudah terimakasih livin
membantu,1.0,bantu
membantu,1.0,bantu
mantap transaksi mudah,1.0,mantap transaksi mudah
praktis mantap,1.0,praktis mantap
livin memudahkan transaksi livin terpercaya,1.0,livin mudah transaksi livin terpercaya
ok,1.0,ok
aplikasi nice,1.0,aplikasi nice
semoga diperbaiki,1.0,semoga baik
iya,1.0,iya
mantap kawan,1.0,mantap kawan
mwu untk apk livin by mandiri sya tdi mlm beli plsa im smpai skrang blom masuk uang sya udh potong plsa blom msuk tolong cek,1.0,mwu untk apk livin by mandiri sya tdi mlm beli plsa im smpai skrang blom masuk uang dia udh potong plsa blom msuk tolong cek
aplikasi membantu apapun thank u livin sukses sllu iya,1.0,aplikasi bantu apa pun thank u livin sukses sllu iya
cakep,1.0,cakep
good,1.0,good
membantu mohon maaf update ga kayak mbanking sebelah,1.0,bantu mohon maaf update ga kayak mbanking sebelah
living mandiri keren,1.0,living mandiri keren
mantaaap smoga,1.0,mantaaap smoga
uwowww best of the best,1.0,uwowww best of the best
lengkap repot mesin atm,1.0,lengkap repot mesin atm
livin by mandiri ok,1.0,livin by mandiri ok
poko ya siip lag,1.0,poko ya siip lag
mantap,1.0,mantap
lumayan bagus repot,1.0,lumayan bagus repot
transaksinya gampang mudah,1.0,transaksi dia gampang mudah
bagus,1.0,bagus
mantap lh,1.0,mantap lh
siiipppp,1.0,siiipppp
ok,1.0,ok
nice,1.0,nice
alahamdulilah membantu aplikasinya,1.0,alahamdulilah bantu aplikasi dia
alhamdulillah,1.0,alhamdulil lah
mantap sukses tuk mandiri bank,1.0,mantap sukses tuk mandiri bank
ok,1.0,ok
mudah peraktis makasi bank mandiri,1.0,mudah raktis makasi bank mandiri
memakai aplikasi mudah bertransaksi rumah terima kasih pt mandiri,1.0,pakai aplikasi mudah transaksi rumah terima kasih pt mandiri
membantu pedagang usaha perkampungan,1.0,bantu pedagang usaha kampung
pekerja gudang,1.0,pekerja gudang
suka bgtt livin,1.0,suka bgtt livin
good,1.0,good
transaksi mudah genggaman terbaik,1.0,transaksi mudah genggam baik
membantu transaksi,1.0,bantu transaksi
suka bank mandiri,1.0,suka bank mandiri
praktis tinggal,1.0,praktis tinggal
ok,1.0,ok
